Command, Alarm, Date, Hour
Turn on Lamp 1, Alarm off, 2021/4/21, 00:09:56
Turn on air conditioner 1, Alarm off, 2021/4/21, 00:10:03
Turn on Lamp 1, Alarm off, 2021/4/21, 00:10:21
Turn on air conditioner 2, Alarm off, 2021/4/21, 00:10:29
Turn on air conditioner 1, Alarm off, 2021/4/21, 00:10:35
Turn on Lamp 3, Alarm off, 2021/4/21, 00:10:38
Turn on Lamp 2, Alarm off, 2021/4/21, 00:10:51
Turn on air conditioner 2, Alarm off, 2021/4/21, 00:11:11
Turn on Alarm, Alarm activated, 2021/4/21, 00:11:19
Turn on Lamp 1, Alarm activated, 2021/4/21, 00:11:50
Turn on Lamp 2, Alarm activated, 2021/4/21, 00:11:53
Turn on Lamp 3, Alarm activated, 2021/4/21, 00:11:56
Turn on Lamp 4, Alarm activated, 2021/4/21, 00:12:00
Turn on air conditioner 1, Alarm activated, 2021/4/21, 00:12:04
Turn on air conditioner 2, Alarm activated, 2021/4/21, 00:12:07
Turn off lamp 1, Alarm activated, 2021/4/21, 00:12:13
Turn off lamp 2, Alarm activated, 2021/4/21, 00:12:16
Turn off lamp 3, Alarm activated, 2021/4/21, 00:12:18
Turn off lamp 4, Alarm activated, 2021/4/21, 00:12:27
Turn off air conditioner 1, Alarm activated, 2021/4/21, 00:12:38
Turn off air conditioner 1, Alarm activated, 2021/4/21, 00:13:06
Turn on Lamp 1, Alarm activated, 2021/4/21, 00:13:10
Turn on Alarm, Alarm activated, 2021/4/21, 00:13:18
Turn off Alarm, Alarm off, 2021/4/21, 00:13:33
View All States, Alarm off, 2021/4/21, 00:14:10
